"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"ZAIRE REZENDE";"ZAIRE REZENDE";"PMDB";"";"7ff01ad4e3441870091fd17862b0ded0";"";"";""
"ÁTILA LINS";"ÁTILA LINS";"PSD";"AM";"5830571";"2011.0";"54.0";""
"ALCIDES MODESTO";"ALCIDES MODESTO";"PT";"";"54df21bf21d19f3bd6d4d0d42414b84b";"";"";""
"CARLOS SANTANA";"CARLOS SANTANA";"PT";"RJ";"74835";"2007.0";"53.0";""
"ANÍBAL GOMES";"ANÍBAL GOMES";"PMDB";"CE";"5830497";"2011.0";"54.0";""
"BENEDITO DE LIRA";"BENEDITO DE LIRA";"PP";"AL";"74517";"2007.0";"53.0";""
"LUISINHO";"LUISINHO";"PSDB";"";"3da54f05c43e4471d1c7b52f02850092";"";"";""
"PAULO BALTAZAR";"PAULO BALTAZAR";"PSB";"";"d702a5f6c30daad540f40b203fdc9650";"";"";""
"CELSO RUSSOMANNO";"CELSO RUSSOMANNO";"PRB";"SP";"5830790";"2011.0";"54.0";""
"RAUL BELÉM";"RAUL BELÉM";"DEM";"";"9e1172ce7b9ad24180e5f364208e0792";"";"";""
"VALDECI PAIVA";"VALDECI PAIVA";"PST";"";"2feecba86e806d4a7b3fa14677746964";"";"";""
"JOSÉ GENOÍNO";"JOSÉ GENOÍNO";"PT";"SP";"73540";"2007.0";"53.0";""
"HÉLIO COSTA";"HÉLIO COSTA";"PMDB";"";"935cebf42c444595cfdbea402cb2383c";"";"";""
"JOÃO MENDES";"JOÃO MENDES";"PMDB";"";"fdfa5970ddfb1499d75f4945f44b9dbf";"";"";""
"LUIZ SÉRGIO";"LUIZ SÉRGIO";"PT";"RJ";"5830521";"2011.0";"54.0";""
"PEDRO WILSON";"PEDRO WILSON";"PT";"GO";"73673";"2007.0";"53.0";""
"JOSÉ MÚCIO MONTEIRO";"JOSÉ MÚCIO MONTEIRO";"PTB";"PE";"74426";"2007.0";"53.0";""
"ANTONIO FEIJÃO";"ANTONIO FEIJÃO";"PSDB";"AP";"73987";"2007.0";"53.0";""
"VICENTE CAROPRESO";"VICENTE CAROPRESO";"PSDB";"";"d50f859737c7b8c3ca717ac5a0da917b";"";"";""
"TUGA ANGERAMI";"TUGA ANGERAMI";"PSDB";"";"47f1d080dd8801449bdb68aaf1d124d0";"";"";""
"MATTOS NASCIMENTO";"MATTOS NASCIMENTO";"PMDB";"";"86b8cddc07bb275c62b5cb81be4499e2";"";"";""
"BENEDITO GUIMARÃES";"BENEDITO GUIMARÃES";"PPB";"";"528b802c815273b4418c785291878853";"";"";""
"LUIZ MOREIRA";"LUIZ MOREIRA";"DEM";"";"d9e5873de18ff7c2efd1ac45c0626ae3";"";"";""
"ROBERTO FONTES";"ROBERTO FONTES";"DEM";"";"39c796c11b81ddb031af334aaafd66cd";"";"";""
"MÁRCIO REINALDO MOREIRA";"MÁRCIO REINALDO MOREIRA";"PP";"MG";"74744";"2007.0";"53.0";""
"UBIRATAN AGUIAR";"UBIRATAN AGUIAR";"PSDB";"";"ad9e7e9397913939d43fbab648e5eb8d";"";"";""
"JOÃO RIBEIRO";"JOÃO RIBEIRO";"DEM";"";"2d43e13e6835289f3d4bfe24853f9bb3";"";"";""
"SEVERIANO ALVES";"SEVERIANO ALVES";"PDT";"BA";"74641";"2007.0";"53.0";""
"JOFRAN FREJAT";"JOFRAN FREJAT";"PTB";"DF";"73658";"2007.0";"53.0";""
"PEDRO CORREA";"PEDRO CORREA";"PPB";"";"cd28c8704a77d4caa7b0feb059d6a855";"";"";""
"ROBERTO VALADÃO";"ROBERTO VALADÃO";"PMDB";"";"af3c3c4bcc7b76a8c7f9ea5418b3647f";"";"";""
"WELINTON FAGUNDES";"WELINTON FAGUNDES";"PL";"";"585fdb858d684451a1e0da640d409b2d";"";"";""
"AFFONSO CAMARGO";"AFFONSO CAMARGO";"PSDB";"PR";"73765";"2007.0";"53.0";""
"FIRMO DE CASTRO";"FIRMO DE CASTRO";"PSDB";"";"3bce856e314b0d43b47eb36f4d22b68d";"";"";""
"NEUTO DE CONTO";"NEUTO DE CONTO";"PMDB";"";"46a02264274364c99a7d5dafe0a77457";"";"";""
"MARCOS AFONSO";"MARCOS AFONSO";"PT";"";"afa8fc85845f8f1377cd7372c23f8553";"";"";""
"FERNANDO GONÇALVES";"FERNANDO GONÇALVES";"PTB";"RJ";"74842";"2007.0";"53.0";""
"JOSÉ PINOTTI";"JOSÉ PINOTTI";"PSB";"";"67a527b896281cf30cc6f374e7d8b2cd";"";"";""
"SIMÃO SESSIM";"SIMÃO SESSIM";"PP";"RJ";"5830589";"2011.0";"54.0";""
"RENAN KURTZ";"RENAN KURTZ";"PDT";"";"39a11662a9cfe6852ad884a05f26baf5";"";"";""
"GILBERTO KASSAB";"GILBERTO KASSAB";"DEM";"";"1fadb6856d25c543331b20dfb085c3bd";"";"";""
"INOCÊNCIO OLIVEIRA";"INOCÊNCIO OLIVEIRA";"PR";"PE";"74421";"2011.0";"54.0";""
"PASTOR AMARILDO";"PASTOR AMARILDO";"PPB";"";"7c2bbc71420aa8788e6c2ddb9a5320a7";"";"";""
"COSTA FERREIRA";"COSTA FERREIRA";"PSC";"MA";"74016";"2007.0";"53.0";""
"RODRIGO MAIA";"RODRIGO MAIA";"DEM";"RJ";"5830464";"2011.0";"54.0";""
"ROBERTO CAMPOS";"ROBERTO CAMPOS";"PPB";"";"1c336b6af288b45e0c90488038535602";"";"";""
"FÁBIO FELDMANN";"FÁBIO FELDMANN";"PSDB";"";"f443f54e84023caf2534204e4ee129a1";"";"";""
"JOSÉ SANTANA DE VASCONCELLOS";"JOSÉ SANTANA DE VASCONCELLOS";"PL";"MG";"74741";"2007.0";"53.0";""
"ARMANDO COSTA";"ARMANDO COSTA";"PMDB";"";"cf5b2482f2d86e9eec1f3f39eb3845a5";"";"";""
"JAIR MENEGUELLI";"JAIR MENEGUELLI";"PT";"";"85d077fa2f6776eb12637d67146cd765";"";"";""
"MAURÍCIO CAMPOS";"MAURÍCIO CAMPOS";"PSDB";"";"38b56da4ae01ad3db89caaad0dce53e6";"";"";""
"OSMAR LEITÃO";"OSMAR LEITÃO";"PPB";"";"4cb047bb577720f25fc11e56147633ac";"";"";""
"RUBENS BUENO";"RUBENS BUENO";"PPS";"PR";"5830573";"2011.0";"54.0";""
"MÁRIO CAVALLAZZI";"MÁRIO CAVALLAZZI";"PPB";"";"6dc4a4170484fb1dc26c7dd3f2c36024";"";"";""
"JOÃO COLAÇO";"JOÃO COLAÇO";"PMDB";"";"82f2b1a2cfb2c59a004848795a597e6d";"";"";""
"ROBERTO ARGENTA";"ROBERTO ARGENTA";"DEM";"";"6ab0cef57954a997c12a832bba52f6e8";"";"";""
"TETE BEZERRA";"TETE BEZERRA";"PMDB";"";"b60dce242ac90958a5865f3b1cb61713";"";"";""
"JOSE COSTA";"JOSE COSTA";"PSD";"";"550b78e139732f2869fc845fa84d2be7";"";"";""
"UDSON BANDEIRA";"UDSON BANDEIRA";"PMDB";"";"d0dd07d424f9bd9988d3fb45e9592d29";"";"";""
"MÁRIO NEGROMONTE";"MÁRIO NEGROMONTE";"PP";"BA";"74635";"2011.0";"54.0";""
"FETTER JÚNIOR";"FETTER JÚNIOR";"PPB";"";"ff8a87746bf4ae69e5b775450b16524c";"";"";""
"ASDRÚBAL BENTES";"ASDRÚBAL BENTES";"PMDB";"";"d3d0a91b5177caaa47f5750549813cea";"";"";""
"JOSÉ PIMENTEL";"JOSÉ PIMENTEL";"PT";"CE";"74298";"2007.0";"53.0";""
"PAULO HESLANDER";"PAULO HESLANDER";"PTB";"";"f3f7304effae8f977d8fcfd71c5721d5";"";"";""
"ETEVALDA GRASSI DE MENEZES";"ETEVALDA GRASSI DE MENEZES";"PMDB";"";"345e36799f28c811868e9acbbccabca6";"";"";""
"JAIME FERNANDES";"JAIME FERNANDES";"DEM";"";"2e63f1cd801337787dd2cb2531859b95";"";"";""
"ANTONIO DOS SANTOS";"ANTONIO DOS SANTOS";"DEM";"";"28cc279448c43c8cd4516d184b217c4a";"";"";""
"VIRGÍLIO GUIMARÃES";"VIRGÍLIO GUIMARÃES";"PT";"MG";"74593";"2007.0";"53.0";""
"GERALDO MAGELA";"GERALDO MAGELA";"PT";"";"69168d8edccbcf34deb302f69c70fea0";"";"";""
"MAX ROSENMANN";"MAX ROSENMANN";"PMDB";"PR";"73780";"2007.0";"53.0";""
"KOYU IHA";"KOYU IHA";"PSDB";"";"158291db4c69f524e9d30ec339c345f1";"";"";""
"ARACELY DE PAULA";"ARACELY DE PAULA";"PR";"MG";"74648";"2011.0";"54.0";""
"REGINALDO GERMANO";"REGINALDO GERMANO";"PMDB";"";"5d5aaf2c70d4497744a1957957eba6d0";"";"";""
"JORGE KHOURY";"JORGE KHOURY";"PFL";"BA";"74552";"2007.0";"53.0";""
"DJALMA DE ALMEIDA CESAR";"DJALMA DE ALMEIDA CESAR";"PMDB";"";"460365b632596b981cc5926bb88b29ec";"";"";""
"RICARDO GOMYDE";"RICARDO GOMYDE";"PCdoB";"";"f5f49ffb08f5d8da4cc3bdd969e51a4c";"";"";""
"IBRAHIM ABI-ACKEL";"IBRAHIM ABI-ACKEL";"PPB";"";"631c231e7bd296556aa1986f9fd8c7b0";"";"";""
"LAURA CARNEIRO";"LAURA CARNEIRO";"DEM";"";"fc9a47c2205ee2201d8cf4b9dbf95e55";"";"";""
